21:47:07.047 | 0f c4 09 30 2a cd 59 4f 5b 5a 9d ef 2d 54 a8 89  |  -77 CRC error
21:47:08.343 | 2f c9 29 6c 21 91 13 b5 23 25 15 54 2f 59 26 9d  |  -83 CRC error
21:47:08.603 | 0b ca 89 78 56 e4 59 69 40 a9 0a a8 54 50 4a 28  |  -80 CRC error
21:47:09.382 | 0f cd 09 9c 24 f0 1f 08 18 5d 19 a4 25 1a 18 32  |  -82 CRC error
21:47:09.639 | 0f ce 89 a9 2a d3 21 75 5a 97 29 a9 5b 4c 2a 0d  |  -80 CRC error
21:47:09.899 | 0f cf 09 b4 18 ec 23 9d 26 cf 22 3f 1c 5b 22 5b  |  -80 CRC error
21:47:10.418 | 0f d1 09 cc 15 85 20 f9 29 64 19 5d 1c e1 20 98  |  -77 CRC error
21:47:11.197 | 0f d4 09 f0 1d bd 2c 40 2a 7e 30 cd 20 4f 1d 95  |  -80 CRC error
21:47:11.973 | 0f d7 0a 14 17 3b 14 c0 0c 61 00 aa 84 22 80 00  |  -84 CRC error
21:47:12.491 | 0f d9 0a 2c 26 05 1c c2 28 6a 23 ad 2e 35 14 dc  |  -81 CRC error
21:47:13.789 | 0f de 0a 68 9f 51 25 c8 1f 4e 22 a8 1f 90 27 f2  |  -81 CRC error
21:47:14.045 | 0f df 0a 75 21 ae 94 52 ac 9a 9f eb 27 6a 4f b7  |  -81 CRC error
21:47:14.824 | 0f e2 0a 98 09 66 1a 71 1f 53 28 d6 1f ec 19 af  |  -89 CRC error
21:47:15.083 | 0f e3 0a a4 2c 7f 24 13 19 6c 29 db 12 ec 25 2d  |  -78 CRC error
21:47:16.899 | 0a 09 00 28 52 28 2a 92 95 54 82 89 28 40 8a 42  |  -81 CRC error
21:47:17.157 | 4f eb 0b 04 22 d5 26 76 a3 5d 1e 3a 5e 55 2a b7  |  -78 CRC error
21:47:17.676 | 0f ed 0b 1c 1a bf 2a 2c 2f bb 1f 64 18 f0 17 8f  |  -88 CRC error
21:47:18.195 | 0f ef 0b 34 01 dc a1 c0 19 8d 29 97 23 10 28 f6  |  -88 CRC error
21:47:18.712 | 0f f1 0b 4c 26 79 18 bd 21 d4 25 e9 14 ef 22 44  |  -91 CRC error
21:47:19.231 | 0f f3 0b 64 14 ef 19 ef 18 9c 28 8e 27 24 16 76  |  -84 CRC error
21:47:19.490 | 0f f4 0b 70 27 50 2f 56 20 db 26 9d 17 8c 1d 71  |  -90 CRC error
21:47:19.749 | 0f f5 0b 7c 2c bb 19 85 1d 6f 11 ae 5e d4 28 c2  |  -85 CRC error
21:47:20.785 | 0f f9 0b ac 22 55 22 27 2e ef 16 ce 22 ab 27 41  |  -86 CRC error
21:47:21.304 | 0f fb 0b c4 20 41 13 18 1a 7b 2a 76 16 79 22 0a  |  -80 CRC error
21:47:21.564 | 0f fc 0b d0 2c 1d 1c 2e a7 47 28 5d 5e aa 9a b5  |  -88 CRC error
21:47:21.823 | 0f fd 0b dc 24 ff 2a 8a 22 04 19 2e 1a 5b 22 90  |  -88 CRC error
21:47:22.082 | 0f fe 0b e8 12 6e 28 e1 2b 90 17 1f 19 e8 27 f4  |  -87 CRC error
21:47:22.342 | 0f ff 0b f4 21 cc 24 18 11 50 2d ab 1a 3e 15 f4  |  -90 CRC error
21:47:22.860 | 0f 01 0c 0c 23 4a 1e 21 20 15 18 9e 22 a9 2b 68  |  -76 CRC error
21:47:23.119 | 0f 02 0c 18 10 68 30 6e 24 9d 22 f5 27 a2 29 42  |  -77 CRC error
21:47:23.379 | 0f 03 0c 24 16 2e 1b a3 23 dd 25 26 1a 21 25 9b  |  -77 CRC error
21:47:23.638 | 0f 04 0c 30 97 69 13 3b 1b ce 21 06 1d 0f 1c c8  |  -77 CRC error
21:47:23.897 | 0f 05 0c 3c 14 b3 11 39 11 fc 12 c3 14 5d 1e 47  |  -76 CRC error
21:47:24.674 | 0f 08 0c 60 28 4a 23 b8 1e 23 28 47 14 0a 29 5e  |  -76 CRC error
21:47:25.452 | 0f 0b 0c 84 1f d3 0f cb 35 d6 18 b0 1e ef 29 f4  |  -78 CRC error
21:47:25.971 | 0f 0d 0c 9c 1a 14 15 20 21 47 22 86 28 dc 24 ac  |  -76 CRC error
21:47:26.229 | 0f 0e 0c a8 20 8f 2b f9 25 49 20 cd 24 24 21 1e  |  -79 CRC error
21:47:27.008 | 0f 11 0c cc 2a 54 21 23 26 75 1f 5b 20 e9 2b f9  |  -83 CRC error
21:47:28.821 | 0f 18 0d 20 10 f9 23 1c 57 ef 19 57 1a 59 59 4b  |  -85 CRC error
21:47:29.082 | 0f 19 0d 2c 23 10 23 35 17 c3 2a 6d 23 62 1c ca  |  -83 CRC error
21:47:29.599 | 0f 1b 0d 44 5e 1e 56 85 26 4f 10 ac 1c 51 27 19  |  -78 CRC error
21:47:30.117 | 0f 1d 0d 5c 1a d7 20 f7 24 c9 17 9e 1d 39 2b f3  |  -83 CRC error
21:47:30.637 | 09 1f 0d 74 19 c4 0f 0f 1f bf 23 e4 1a 28 92 a0  |  -91 CRC error
21:47:31.157 | 0f 21 0d 8c 1a 54 22 03 1b 0e 2b 5e 20 18 20 1c  |  -84 CRC error
21:47:31.415 | 0f 22 0d 88 22 30 19 83 20 e6 2c 42 14 52 20 14  |  -85 CRC error
21:47:31.932 | 0f 24 0d b2 28 f3 18 a9 19 ac 28 62 0f f8 22 4c  |  -83 CRC error
21:47:32.451 | 0b 26 0d c8 1e 96 23 20 1f ff 21 b9 2c 62 12 8b  |  -82 CRC error
21:47:32.712 | 0f 27 0d d4 2a 25 01 90 1e 4a 04 50 20 a2 24 65  |  -77 CRC error
21:47:32.968 | 0f 28 0d e0 2b 85 1f cb 23 9b 1c 79 1d 29 26 91  |  -80 CRC error
21:47:33.747 | 0f 2b 0e 04 1d 93 25 fb 1a c5 21 b9 27 17 19 bf  |  -77 CRC error
21:47:34.525 | 0f 2e 0e 28 27 62 27 d4 1d 3b 24 18 22 17 1e 71  |  -84 CRC error
21:47:34.784 | 0f 2f 0e 34 1b 56 1d 45 18 84 18 c8 10 2a 0a 88  |  -81 CRC error
21:47:35.042 | 0f 30 0e 40 22 e9 2a d7 18 01 1f a7 18 c0 2f e5  |  -80 CRC error
21:47:35.303 | 0f 31 0e 4c 20 e5 18 1e 20 6d 27 b4 28 3b 31 cb  |  -82 CRC error
21:47:35.822 | 0f 33 0e 64 2c a2 16 1e 2c 11 20 80 14 06 25 9f  |  -79 CRC error
21:47:36.079 | 0f 34 0e 70 1e 0c 1e 5a 24 54 23 6a 1a 5d 24 8e  |  -82 CRC error
21:47:37.117 | 0f 38 0e a0 14 bd 1a ac 20 75 2b e3 1d 4b 24 1c  |  -82 CRC error
21:47:37.376 | 0f 39 0e ac 17 3f 23 34 1a 65 2e ce 23 c3 28 06  |  -83 CRC error
21:47:37.893 | 0f 3b 0e c4 29 92 19 14 22 2e 23 fb 1c 96 1e 21  |  -80 CRC error
21:47:38.154 | 0f 3c 0e d0 21 ea 19 1b 23 8e 1f 3a 21 2d 20 21  |  -82 CRC error
21:47:38.412 | 0f 3d 0e dd 22 be 19 27 51 71 5f 9e 23 23 5f 38  |  -83 CRC error
21:47:38.670 | 0f 3e 0e e8 2d 22 28 33 29 83 22 a5 23 b4 17 43  |  -80 CRC error
21:47:38.931 | 0f 3f 0e f4 22 75 22 15 15 11 22 9a 20 aa 9d 94  |  -81 CRC error
21:47:39.191 | 0f 40 0f 00 15 d4 1b 08 24 99 19 59 1d e7 30 0b  |  -75 CRC error
21:47:39.449 | 0f 41 0f 0c 20 00 22 23 14 47 55 76 d5 75 76 aa  |  -74 CRC error
21:47:39.707 | 0f 45 2a 10 25 4d 20 b7 16 b6 20 f4 1c 9e 25 16  |  -79 CRC error
21:47:39.969 | 0f 43 0f 24 1f cb 1a 1c 22 c9 1a 73 13 b7 1e a6  |  -77 CRC error
21:47:40.226 | 0f 44 0f 30 18 2a 32 80 2d b3 2a 46 1b 53 1c 3e  |  -75 CRC error
21:47:42.042 | 0f 4b 0f 84 14 e1 28 89 16 e4 12 b6 20 6d 2b 19  |  -78 CRC error
21:47:42.301 | 0f 48 0f 90 1a 88 1a f6 1a 32 20 85 2b 62 2e d7  |  -82 CRC error
21:47:42.561 | 0f 4d 0f 9c 25 a3 1c 99 18 4c 15 0c 22 de 23 8c  |  -77 CRC error
21:47:42.820 | 0b 4e 0f a8 2d 10 15 c4 11 10 15 19 23 81 23 41  |  -75 CRC error
21:47:43.078 | 0f 4e 0a a2 15 25 14 00 1a 01 19 8a 10 93 18 4c  |  -77 CRC error
21:47:43.336 | 0f 50 0f c0 15 ab 1d 3f 28 dd 19 fb 22 e8 1a 60  |  -88 CRC error
21:47:43.596 | 0f 51 0f 4c 2c b8 23 20 1b 0e 1d 2d 21 50 1c 1c  |  -75 CRC error
21:47:44.633 | 0f 55 0f fc 24 f8 18 2b 1e 0b 22 38 1f aa 1e 59  |  -82 CRC error
21:47:45.411 | 0f 58 10 20 1a 99 20 1c 22 f0 24 9e 15 06 23 45  |  -81 CRC error
21:47:45.671 | 0f 59 10 2c 1c 15 25 d3 22 b3 13 9a 29 3a 9b aa  |  -81 CRC error
21:47:46.189 | 0f 5b 10 45 15 94 2a aa 08 54 24 15 24 14 28 21  |  -80 CRC error
21:47:46.447 | 0f 54 10 50 26 11 1b be 0e b2 20 18 15 bc 25 b1  |  -76 CRC error
21:47:46.708 | 0f 5d 10 5c 24 32 1f df 13 48 14 7f 22 b7 24 30  |  -80 CRC error
21:47:46.966 | 0f 5e 10 68 1e ad 1f da 12 8b 12 0a 25 50 2b fe  |  -87 CRC error
21:47:47.485 | 0f 60 10 80 19 fc 16 6f 1e a2 24 f6 2a 42 26 b2  |  -78 CRC error
21:47:47.744 | 0f 61 10 8c 29 6a 1d bd 21 37 24 97 1c 6e 11 67  |  -77 CRC error
21:47:48.263 | 0f 63 10 a4 2b 36 13 fc 1e 7e 2b f9 28 1f 29 52  |  -79 CRC error
21:47:48.523 | 2f 64 10 b0 13 b4 1d 3d 18 19 20 b5 21 10 2e 11  |  -80 CRC error
21:47:48.781 | 4f 65 14 bc 5a 2d 59 d7 29 dc 56 bd 26 28 1e e1  |  -78 CRC error
21:47:49.558 | 0f 68 10 e0 18 01 27 b7 22 f4 24 f9 1e 4e 21 fd  |  -80 CRC error
21:47:50.336 | 0f 6b 11 04 0b d0 23 f5 26 5a 19 de 2e 26 20 bc  |  -80 CRC error
21:47:50.595 | 0f 6c 11 10 29 d7 0e a2 23 ea 1a 40 23 bb 21 ac  |  -82 CRC error
21:47:50.854 | 0f 6d 11 1c 2c 67 1f 0b 1e 2f 24 67 1b 7c 1f 77  |  -90 CRC error
21:47:51.114 | 0f 6e 11 28 20 a1 1f f3 24 ec 1a ac 1d 88 22 9d  |  -80 CRC error
